d w z t
3 41 3 0
3 8 3 0
3 8 3 0
3 20 3 0
3 31 3 0
3 8 3 0
3 21 3 0
3 8 3 0
3 25 3 0
3 31 3 0
3 13 3 0
81 16 6 0
81 4 6 0
81 43 6 0
44 3 8 0
44 20 2 1
44 3 8 0
43 49 4 0
43 17 4 1
43 2 4 0
39 7 9 1
39 24 0 0
39 30 0 0
39 30 0 0
39 39 0 0
39 39 0 0
39 39 0 0
39 30 0 0
39 11 0 0
39 16 0 0
39 30 0 0
39 33 0 0
39 24 0 0
39 30 0 0
39 30 0 0
39 24 0 0
39 30 0 0
39 24 0 0
39 35 0 0
39 32 0 0
39 24 0 0
39 24 0 0
39 11 0 0
39 45 0 0
39 30 0 0
39 32 0 0
39 24 0 0
93 32 0 0
93 20 0 0
93 24 0 0
93 16 0 1
93 16 0 0
93 33 0 0
93 4 0 0
93 11 0 0
93 24 0 1
93 31 0 1
93 24 0 0
93 16 0 0
86 13 6 0
86 12 6 0
86 9 6 0
49 38 8 0
49 41 8 0
49 9 8 0
49 38 8 0
49 38 8 0
49 38 8 1
49 41 3 2
49 38 8 0
49 17 8 0
104 46 6 0
104 13 6 0
104 32 6 0
104 41 6 1
104 36 6 0
104 3 6 0
104 2 6 0
104 45 6 0
29 12 6 0
29 49 6 0
29 24 6 0
29 41 3 1
29 43 6 0
29 6 6 0
87 44 6 0
87 20 6 1
87 4 6 0
87 24 4 2
87 45 6 0
87 28 4 2
87 16 4 2
22 45 5 0
22 45 5 0
22 45 5 0
22 48 5 0
22 26 5 0
22 22 5 0
22 39 5 0
22 49 5 0
22 25 5 0
22 22 5 0
22 39 5 0
22 39 5 0
22 34 5 0
22 45 5 0
22 39 5 0
22 39 5 0
22 39 5 0
22 39 5 0
22 22 5 0
22 33 5 0
22 45 5 0
22 39 5 0
22 39 5 0
22 12 5 0
71 24 6 0
71 46 6 0
71 2 6 0
71 47 6 0
71 43 6 0
78 31 2 0
78 42 2 0
78 20 2 0
78 20 2 0
78 42 2 0
78 31 2 0
78 42 2 0
17 33 0 0
17 31 3 1
17 24 0 0
17 32 0 0
17 17 0 0
17 24 0 0
17 32 0 0
17 25 3 1
17 31 3 1
17 34 0 0
17 16 0 0
17 32 0 0
17 11 0 0
17 25 0 0
17 26 0 0
17 16 0 0
17 31 0 0
17 32 0 0
17 30 0 0
17 31 0 0
17 27 6 2
31 31 5 0
31 2 4 1
31 12 3 2
8 41 7 1
8 20 2 2
8 33 8 0
8 15 8 0
8 41 4 3
85 12 6 0
85 34 6 0
85 49 6 1
90 23 1 0
90 20 1 0
90 12 1 0
90 23 1 0
90 20 1 0
90 0 1 0
90 0 1 0
90 20 1 0
90 20 1 0
90 20 1 0
90 20 1 0
90 0 1 0
90 23 1 0
90 20 1 0
90 0 1 0
41 1 2 0
41 20 2 0
41 47 2 0
41 20 2 0
41 22 2 0
41 47 2 0
41 20 2 0
41 39 2 0
41 24 2 0
41 20 2 0
41 24 2 0
41 7 2 0
41 39 2 0
41 20 2 0
41 22 2 0
48 46 4 0
48 37 4 0
15 38 8 1
15 36 7 0
15 17 4 2
21 21 5 0
21 39 5 0
21 31 5 0
21 30 5 0
21 20 5 0
21 22 5 0
21 21 5 0
