d w z t
45 34 1 2
45 27 1 1
45 46 2 3
10 30 0 0
10 32 0 0
10 11 2 1
10 20 0 0
10 20 0 0
10 29 2 1
10 32 2 1
10 30 0 2
10 26 2 1
10 29 2 1
10 39 0 0
10 30 0 0
10 30 0 2
10 39 0 2
10 31 2 1
10 24 2 1
10 32 2 1
10 14 0 2
10 30 0 0
10 32 0 0
10 29 2 1
10 11 0 0
10 29 2 1
10 16 0 2
10 20 0 2
10 20 0 3
10 20 0 0
88 47 6 0
88 43 1 1
27 17 1 0
27 26 1 0
27 43 1 0
27 36 0 1
27 9 1 0
27 44 1 0
27 44 1 0
27 36 1 0
64 43 1 0
64 20 3 1
64 36 3 1
64 4 1 0
64 43 1 0
64 4 3 1
53 24 6 0
53 19 6 0
53 41 6 0
53 41 6 0
4 32 0 0
4 22 0 0
4 30 0 0
4 26 0 0
4 43 1 1
4 49 1 1
4 43 1 1
4 8 0 0
4 45 0 0
4 49 1 2
4 39 1 1
4 45 1 1
4 45 1 1
4 24 1 2
4 24 0 0
4 11 0 0
4 24 1 1
38 39 0 0
38 20 0 0
38 18 0 0
38 7 0 0
38 30 0 0
38 48 0 0
38 21 2 1
38 26 0 0
38 7 0 0
38 21 2 1
38 48 0 0
38 20 0 0
38 45 0 0
38 45 0 0
38 39 0 0
38 14 0 0
38 24 0 0
38 24 0 0
38 20 0 0
38 39 0 0
38 30 0 0
38 39 0 0
38 30 0 0
52 11 4 0
52 42 4 0
52 42 4 0
52 42 4 0
52 31 4 0
52 20 0 1
52 1 1 2
52 42 4 0
52 31 4 0
42 0 0 1
42 45 0 0
42 3 0 0
42 0 0 0
94 42 4 0
94 47 7 1
94 48 7 1
94 44 7 1
94 48 7 1
94 49 7 1
40 34 2 0
40 7 0 1
40 22 0 1
40 20 0 1
40 20 0 2
40 20 0 1
40 21 2 0
40 22 0 1
40 39 0 1
40 24 0 1
40 32 2 0
40 39 0 1
40 31 2 0
40 39 0 1
40 22 2 0
40 21 2 0
40 22 0 1
40 22 0 1
40 22 0 1
40 7 2 0
40 31 0 1
40 39 0 1
40 39 0 1
40 6 0 1
40 39 0 1
40 47 0 1
50 12 1 0
50 15 1 0
50 33 1 0
50 33 1 1
50 37 1 0
0 37 1 0
0 44 1 1
0 16 2 2
81 4 0 0
81 43 1 1
81 16 1 1
86 12 1 0
86 9 1 1
86 13 0 2
103 9 1 0
103 12 1 1
103 49 1 2
19 24 0 1
19 39 0 1
19 45 0 1
19 22 0 0
19 31 0 0
19 39 0 1
19 30 0 1
19 14 0 0
19 47 0 0
19 31 0 0
19 24 0 0
19 11 0 1
19 30 0 1
19 31 0 1
19 3 0 1
19 32 0 0
19 39 0 1
87 20 0 0
87 24 0 0
87 45 0 0
87 44 1 1
87 28 0 0
87 4 0 0
87 16 1 2
67 46 1 0
67 44 1 0
93 20 0 0
93 31 0 0
93 24 0 0
93 24 0 0
93 16 0 0
93 24 2 1
93 32 2 2
93 4 0 0
93 16 0 0
93 33 0 0
93 16 0 0
93 11 2 2
68 27 1 0
107 36 0 0
107 24 0 0
74 31 2 0
74 10 2 0
74 26 0 1
74 39 0 1
74 31 2 0
74 25 2 0
74 11 2 0
74 10 2 0
74 30 0 1
74 31 2 0
74 39 0 1
78 42 4 0
78 20 4 0
78 42 4 0
78 31 4 0
78 31 4 0
78 42 4 0
78 20 0 1
69 12 5 0
69 5 5 0
69 36 5 0
69 15 5 0
69 5 5 0
69 36 5 0
69 27 5 0
69 36 5 0
69 28 5 0
