d w z t
76 16 0 0
76 20 2 1
76 23 0 0
76 0 0 0
76 0 0 0
76 23 0 0
76 0 0 0
76 20 0 0
76 23 0 0
76 20 0 0
76 20 0 0
76 0 0 0
76 12 0 0
76 20 0 0
76 20 0 0
76 20 0 0
97 15 3 0
97 16 0 1
97 12 3 0
91 24 7 0
91 17 7 0
65 15 5 0
65 36 5 0
65 27 5 0
65 12 5 0
65 5 5 0
65 28 5 0
65 36 5 0
65 5 5 0
65 36 5 0
37 39 8 0
37 14 8 0
37 24 2 1
37 39 8 0
37 17 2 1
37 48 8 0
37 14 2 1
37 20 2 1
37 48 2 2
37 24 2 2
37 48 2 2
37 48 8 0
37 20 2 2
37 39 2 1
37 39 2 2
37 7 2 2
37 31 2 1
0 37 10 0
0 16 2 1
0 44 10 0
70 9 3 0
70 9 3 0
70 9 3 0
70 3 3 0
33 37 6 0
33 48 9 1
33 41 6 0
33 37 9 1
31 31 2 0
31 12 2 0
31 2 2 0
21 21 8 0
21 21 8 0
21 39 8 0
21 21 8 0
21 24 2 1
21 22 2 1
21 17 2 1
21 30 1 2
21 26 8 0
21 26 8 0
21 22 2 1
21 24 1 2
21 20 2 1
21 22 8 0
21 30 8 0
21 22 8 0
21 34 8 0
21 30 2 1
21 21 8 0
21 11 8 0
21 39 8 0
21 39 2 1
21 31 8 0
21 22 8 0
21 22 8 0
21 39 8 0
21 26 8 0
21 31 2 1
21 22 2 1
62 38 8 0
26 3 7 0
26 27 5 1
71 43 6 0
71 24 1 1
71 47 6 2
71 2 6 0
71 46 6 2
19 31 8 0
19 11 1 1
19 39 8 0
19 47 1 1
19 24 1 1
19 30 1 2
19 30 8 0
19 22 8 0
19 45 8 0
19 39 8 0
19 32 1 2
19 14 8 0
19 24 7 3
19 3 1 2
19 39 8 0
19 31 6 4
19 31 8 0
67 44 3 0
67 46 3 0
79 43 5 0
79 12 5 0
79 36 5 0
79 12 5 0
79 46 5 0
79 27 5 0
105 34 5 0
105 27 5 0
105 4 5 0
4 43 9 3
4 43 1 2
4 49 6 1
4 45 1 0
4 24 1 2
4 11 1 0
4 26 9 3
4 32 1 2
4 8 6 1
4 49 6 1
4 24 1 0
4 30 1 0
4 45 1 2
4 22 1 0
4 39 1 2
4 24 1 2
4 45 1 0
8 20 0 0
8 41 6 2
8 15 5 1
8 33 5 1
8 41 5 1
87 44 1 0
87 24 1 0
87 4 9 1
87 16 9 1
87 45 1 0
87 20 1 0
87 28 7 2
32 16 9 0
32 16 9 0
32 37 8 1
103 49 3 0
103 9 3 0
103 12 3 0
64 43 9 0
64 20 1 1
64 4 9 0
64 4 9 0
64 36 9 0
64 43 9 0
9 3 3 0
9 37 3 0
9 49 3 0
9 23 3 0
9 3 3 0
9 17 3 0
9 44 3 0
52 31 2 0
52 42 2 0
52 42 2 0
52 11 11 1
52 1 7 2
52 42 2 0
52 31 2 0
52 42 2 0
52 20 2 0
56 42 2 0
20 39 8 0
20 39 1 2
20 21 4 1
20 24 4 1
20 39 8 0
20 39 8 0
20 32 8 0
20 31 8 0
20 3 0 3
20 30 8 0
20 32 8 0
20 21 4 1
20 21 4 1
20 39 8 0
20 41 4 1
29 12 9 1
29 41 6 0
29 49 6 0
29 24 9 1
29 6 9 1
29 43 9 1
96 10 12 0
96 10 6 1
96 45 12 0
96 10 6 1
96 10 12 0
51 6 9 0
51 20 9 0
51 12 9 0
51 6 9 0
98 35 2 0
98 35 4 1
98 7 2 0
30 47 2 0
30 24 2 0
30 6 5 1
30 47 2 0
83 45 5 1
83 45 6 0
83 45 6 0
83 47 6 0
83 45 6 2
83 4 6 0
83 36 5 1
61 34 8 0
61 7 2 1
61 7 2 1
61 6 2 1
10 24 1 0
10 39 1 2
10 11 1 0
10 14 1 0
10 39 1 0
10 20 2 1
10 32 1 2
10 16 1 0
10 26 1 0
10 29 1 0
10 20 2 1
10 30 1 0
10 20 2 1
10 29 1 0
10 30 1 0
10 20 1 0
10 11 1 0
10 31 1 0
10 32 1 2
10 30 1 0
10 20 1 0
10 32 1 0
10 30 1 0
10 32 1 2
10 30 1 0
10 29 1 0
10 29 1 0
43 17 3 0
43 49 6 1
43 2 7 2
41 20 2 0
41 7 2 0
41 39 2 0
41 24 2 1
41 39 2 0
41 22 2 1
41 24 2 1
41 20 2 0
41 20 2 1
41 22 2 1
41 1 2 1
41 47 2 0
41 20 2 0
41 20 2 0
41 47 2 0
90 0 0 0
90 23 0 1
90 20 0 1
90 20 0 2
90 20 2 3
90 0 0 0
90 12 0 0
90 20 0 0
90 0 0 0
90 20 0 1
90 0 0 0
90 23 0 0
90 20 0 0
90 23 0 1
90 20 0 2
75 41 12 0
75 40 12 0
75 5 12 0
25 24 7 0
25 16 7 0
25 24 7 0
25 3 7 0
25 32 6 1
25 17 7 0
57 49 6 0
108 3 1 0
108 24 1 0
42 45 0 0
42 0 0 0
42 0 0 0
42 3 0 0
17 24 1 3
17 32 1 3
17 16 3 2
17 31 8 1
17 32 1 3
17 32 1 3
17 17 3 2
17 31 8 1
17 11 1 0
17 25 8 4
17 16 1 3
17 27 8 4
17 34 8 1
17 30 1 0
17 26 8 4
17 32 1 3
17 31 8 1
17 33 7 5
17 25 8 1
17 24 7 5
17 31 2 6
107 36 3 0
107 24 7 1
93 24 9 0
93 20 2 1
93 16 9 0
93 31 2 1
93 11 9 0
93 24 9 0
93 24 9 0
93 4 9 0
93 16 9 0
93 32 9 0
93 33 8 2
93 16 9 0
84 12 6 0
84 18 5 1
84 47 6 0
84 36 6 0
84 46 5 1
63 46 5 0
63 28 5 0
63 36 5 0
63 4 5 0
13 39 2 0
13 20 2 0
13 20 2 0
13 25 2 0
13 20 2 0
13 47 2 0
13 20 2 0
13 47 2 0
13 16 2 0
13 31 2 0
13 47 2 0
13 24 2 0
13 47 2 0
13 47 2 0
13 26 1 1
13 31 2 0
13 47 2 0
13 20 2 0
50 33 7 0
50 33 7 0
50 12 9 1
50 15 9 1
50 37 6 2
12 14 2 0
12 22 2 0
12 7 2 0
12 7 2 0
12 16 2 0
12 20 2 0
12 20 2 0
12 31 2 0
12 31 2 0
12 25 2 0
