d w z t
37 14 2 0
37 48 2 0
37 31 2 0
37 39 2 0
37 48 2 0
37 39 2 0
37 14 2 0
37 24 2 0
37 24 2 0
37 17 2 0
37 48 2 0
37 20 2 0
37 48 2 0
37 7 2 0
37 39 2 0
37 20 2 0
37 39 2 0
7 16 0 0
83 45 5 0
83 4 5 0
83 47 5 0
83 45 5 0
83 45 5 0
83 36 5 0
83 45 5 0
71 46 8 0
71 43 5 1
71 24 8 0
71 47 5 1
71 2 8 0
58 16 7 0
58 41 7 0
58 17 7 0
58 24 7 0
58 1 7 0
58 1 7 0
5 37 5 0
5 20 0 1
36 40 2 0
36 7 2 0
36 24 2 0
36 42 2 1
36 7 2 0
36 39 2 0
36 30 2 0
36 14 2 0
36 20 2 0
36 39 2 0
36 1 2 0
36 20 2 0
36 7 2 0
36 40 2 0
36 35 2 0
36 7 2 0
36 40 2 0
36 35 2 0
36 48 2 2
36 22 2 0
105 34 5 0
105 27 5 0
105 4 5 0
47 28 7 1
47 24 7 0
47 33 7 1
47 3 7 0
47 24 7 1
47 24 7 1
47 28 7 0
47 17 7 1
47 24 7 1
69 36 5 1
69 36 5 0
69 28 5 0
69 15 5 0
69 5 5 0
69 27 5 0
69 36 5 0
69 5 5 0
69 12 5 0
38 48 3 1
38 45 3 1
38 24 3 1
38 21 3 2
38 39 2 0
38 20 2 0
38 26 0 3
38 39 3 1
38 18 2 0
38 30 3 1
38 7 2 0
38 7 2 0
38 30 3 1
38 39 0 4
38 39 3 1
38 14 2 0
38 20 0 3
38 48 2 0
38 45 3 2
38 30 3 2
38 20 2 0
38 24 7 5
38 21 3 1
68 27 6 0
27 9 6 0
27 26 5 1
27 36 5 1
27 36 6 0
27 44 5 1
27 17 6 0
27 44 5 1
27 43 5 1
22 39 3 0
22 22 3 0
22 22 3 0
22 45 3 0
22 26 3 0
22 45 3 0
22 39 3 0
22 39 3 0
22 45 3 0
22 34 11 1
22 39 3 0
22 45 3 0
22 39 3 0
22 45 3 0
22 39 3 0
22 25 3 0
22 22 3 0
22 49 3 0
22 39 3 0
22 12 6 2
22 48 3 0
22 39 3 0
22 33 3 0
22 39 3 0
9 3 7 0
9 49 7 1
9 3 7 0
9 23 7 0
9 44 5 2
9 37 7 0
9 17 7 1
51 20 5 1
51 12 6 0
51 6 4 2
51 6 6 0
108 3 7 0
108 24 7 0
34 17 7 0
34 15 6 1
34 37 7 0
66 43 5 0
66 12 5 1
66 12 5 0
26 27 6 0
26 3 6 0
39 30 3 0
39 33 3 0
39 39 3 0
39 32 3 0
39 24 3 0
39 39 3 0
39 11 3 0
39 30 3 0
39 30 3 0
39 16 2 1
39 24 3 0
39 39 3 0
39 24 3 0
39 30 3 0
39 32 3 0
39 24 3 0
39 30 3 0
39 35 3 0
39 30 3 0
39 30 3 0
39 7 2 1
39 24 3 0
39 45 3 0
39 30 3 0
39 24 3 0
39 11 3 0
39 24 3 0
3 8 4 0
3 31 4 0
3 8 4 0
3 8 4 0
3 25 4 0
3 8 4 0
3 41 4 0
3 20 0 1
3 13 4 0
3 31 4 0
3 21 4 0
52 11 2 1
52 42 2 0
52 20 2 2
52 42 2 0
52 42 2 0
52 31 2 0
52 1 2 0
52 31 2 0
52 42 2 0
29 6 6 0
29 24 6 0
29 49 6 0
29 41 6 0
29 12 6 0
29 43 6 0
63 46 5 0
63 28 5 0
63 4 5 0
63 36 5 0
62 38 6 0
87 24 7 2
87 28 7 0
87 16 5 1
87 4 5 1
87 20 5 1
87 45 5 1
87 44 5 1
4 49 3 0
4 43 4 1
4 45 4 1
4 39 3 0
4 32 3 0
4 11 3 0
4 24 3 0
4 8 4 1
4 22 3 0
4 43 3 0
4 24 3 0
4 26 3 0
4 49 3 0
4 24 4 1
4 30 3 0
4 45 3 0
4 45 3 0
1 45 4 0
1 13 7 2
1 31 4 0
1 39 0 1
1 7 4 0
1 20 2 4
1 31 4 0
