d w z t
103 12 6 1
103 49 10 0
103 9 6 1
105 27 3 0
105 34 11 1
105 4 11 1
9 37 9 0
9 17 7 2
9 23 8 3
9 3 8 1
9 49 7 2
9 3 8 1
9 44 8 3
51 6 0 1
51 12 6 0
51 20 0 2
51 6 6 0
10 26 0 0
10 29 0 0
10 20 0 0
10 39 0 0
10 30 0 0
10 32 0 0
10 29 0 0
10 32 0 0
10 31 0 0
10 11 0 0
10 20 0 0
10 24 0 0
10 30 0 0
10 39 0 0
10 30 0 0
10 29 0 0
10 20 0 0
10 30 0 0
10 32 0 0
10 16 0 0
10 29 0 0
10 20 0 0
10 20 0 0
10 32 0 0
10 14 0 0
10 11 0 0
10 30 0 0
102 32 6 0
102 12 6 0
102 9 6 0
28 29 0 0
28 11 0 0
28 11 0 0
28 24 0 0
28 24 0 0
28 30 0 0
28 29 0 0
28 39 0 0
28 29 0 0
28 24 0 0
28 24 0 0
28 39 0 0
28 3 0 0
32 37 9 0
32 16 10 1
32 16 0 2
71 47 8 2
71 43 7 1
71 24 7 1
71 2 8 0
71 46 7 3
74 31 3 0
74 26 3 0
74 31 3 0
74 10 3 0
74 31 3 0
74 39 3 0
74 25 3 0
74 39 3 1
74 11 3 0
74 30 3 0
74 10 3 0
100 31 10 1
100 10 10 0
100 24 10 1
100 2 10 1
100 2 10 1
100 18 10 0
100 31 10 1
100 21 10 1
100 18 10 1
100 24 10 1
100 47 10 0
22 39 3 0
22 39 3 0
22 22 3 0
22 39 3 0
22 45 3 0
22 39 3 1
22 39 3 0
22 45 3 0
22 25 3 0
22 39 3 0
22 34 3 0
22 48 3 1
22 49 3 0
22 33 3 0
22 22 3 0
22 39 3 1
22 39 3 0
22 45 3 0
22 26 3 0
22 39 3 0
22 45 3 1
22 45 3 0
22 12 3 1
22 22 3 1
96 45 8 2
96 10 10 1
96 10 10 0
96 10 10 1
96 10 10 1
65 5 6 0
65 27 6 0
65 28 6 0
65 5 6 0
65 15 6 0
65 12 6 0
65 36 6 0
65 36 6 0
65 36 6 0
79 27 6 0
79 43 6 0
79 46 6 0
79 12 6 0
79 36 6 0
79 12 6 0
93 16 0 0
93 33 0 0
93 16 0 0
93 32 0 0
93 24 0 0
93 16 0 0
93 11 0 0
93 24 0 0
93 4 0 0
93 24 0 0
93 31 2 1
93 20 2 1
99 27 5 0
99 9 5 0
99 5 5 0
99 13 5 0
99 13 5 0
99 49 5 0
99 9 5 0
99 13 5 0
99 13 5 0
76 16 6 2
76 0 1 0
76 23 1 0
76 20 1 0
76 20 1 0
76 12 1 1
76 23 1 1
76 0 1 1
76 20 1 0
76 20 1 1
76 20 1 1
76 20 1 0
76 0 1 0
76 0 1 0
76 23 6 2
76 20 1 0
59 16 12 0
59 19 12 0
59 46 12 0
59 19 12 0
59 19 12 0
59 24 12 0
59 19 12 0
59 19 12 0
59 6 12 0
59 19 12 0
24 16 10 0
24 47 10 0
24 15 10 0
24 30 0 3
24 41 2 1
24 47 2 1
24 10 10 0
24 49 10 2
24 34 2 1
24 47 10 0
24 10 10 0
24 10 10 2
24 31 2 1
24 20 2 1
24 10 10 2
24 31 10 2
24 47 2 1
24 20 0 3
83 4 8 0
83 45 8 0
83 45 8 0
83 47 8 0
83 36 9 1
83 45 8 0
83 45 8 0
41 20 2 0
41 47 2 0
41 39 2 0
41 1 2 0
41 20 2 0
41 24 2 0
41 39 2 0
41 22 2 0
41 22 2 0
41 47 2 0
41 7 2 0
41 20 2 0
41 20 2 0
41 20 2 0
41 24 2 0
104 46 6 0
104 13 10 1
104 45 8 2
104 32 10 1
104 36 6 0
104 3 6 0
104 41 10 1
104 2 10 1
108 3 8 0
108 24 7 1
6 13 0 0
6 13 0 0
6 31 0 0
6 31 0 0
6 30 0 0
6 24 0 0
6 6 0 0
6 31 0 0
6 2 1 2
6 6 9 1
6 26 0 0
6 24 0 0
39 45 0 1
39 11 2 2
39 39 2 3
39 30 0 0
39 30 0 0
39 24 0 0
39 30 0 0
39 39 0 0
39 24 0 1
39 30 0 0
39 30 0 0
39 32 0 0
39 32 0 0
39 39 0 1
39 24 0 0
39 11 0 0
39 24 0 0
39 30 0 1
39 7 2 2
39 35 2 3
39 24 7 4
39 30 0 0
39 24 0 1
39 33 0 1
39 24 0 0
39 30 0 0
39 16 0 0
12 39 2 0
12 20 2 1
12 31 2 0
12 31 2 0
12 20 2 0
12 22 2 0
12 20 2 0
12 20 2 0
12 14 2 0
12 7 2 0
12 16 2 1
12 7 2 0
12 20 2 0
12 7 2 0
12 42 2 0
12 48 2 0
12 31 2 0
12 17 2 0
12 25 2 0
44 3 0 0
44 20 8 1
44 3 8 2
64 43 8 0
64 4 8 0
64 4 8 0
64 36 8 0
64 20 2 1
64 43 8 0
75 41 9 0
75 5 9 0
75 40 9 0
73 18 10 0
73 27 4 1
73 21 10 0
73 31 10 0
73 48 4 1
53 19 9 0
53 41 9 0
53 24 2 1
53 41 9 0
85 12 7 0
85 49 7 0
85 34 7 0
40 32 3 0
40 39 3 0
40 22 3 0
40 20 2 1
40 22 2 1
40 22 3 0
40 22 3 0
40 7 2 1
40 20 2 2
40 21 3 0
40 39 2 1
40 47 2 2
40 31 3 0
40 6 3 0
40 39 3 0
40 22 3 0
40 34 3 0
40 7 2 1
40 31 3 0
40 22 3 0
40 39 2 1
40 39 6 3
40 20 2 1
40 24 2 1
40 21 3 0
40 39 3 0
55 24 7 0
55 24 7 0
55 17 7 0
55 21 7 0
55 1 7 0
55 1 7 0
55 20 7 0
55 1 7 0
55 1 7 0
55 1 7 0
55 1 7 0
55 17 7 0
55 24 7 0
55 24 7 0
67 44 10 0
67 46 10 0
29 49 7 0
29 6 7 0
29 43 7 0
29 24 7 0
29 41 7 0
29 12 6 1
58 41 9 1
58 1 7 0
58 17 7 0
58 24 7 0
58 1 7 0
58 16 7 0
26 27 6 0
26 3 6 0
4 43 7 0
4 26 3 1
4 49 7 0
4 49 7 0
4 24 7 0
4 8 10 2
4 11 3 1
4 45 8 3
4 43 7 0
4 32 0 4
4 45 3 1
4 45 8 3
4 30 3 1
4 24 7 0
4 22 3 1
4 39 3 1
4 24 7 0
69 36 6 1
69 28 6 1
69 36 6 0
69 36 6 1
69 15 6 0
69 5 6 1
69 5 6 2
69 12 6 1
69 27 6 1
98 35 8 0
98 7 2 1
98 35 8 0
16 20 1 0
16 17 7 1
16 0 1 0
16 37 1 0
84 36 6 1
84 18 10 0
84 46 6 1
84 47 10 0
84 12 6 1
97 15 6 0
97 16 6 0
97 12 6 0
18 17 0 1
18 31 0 0
18 33 0 0
18 31 2 2
18 34 0 1
18 20 0 1
18 20 0 1
18 31 2 2
18 39 0 0
18 20 0 1
18 31 2 2
18 11 0 1
18 25 0 1
18 32 0 1
18 22 0 1
18 24 0 0
18 31 0 1
18 30 0 0
68 27 1 0
80 26 3 1
80 20 0 0
80 30 0 0
80 11 3 1
80 16 0 0
80 45 3 1
57 49 5 0
48 37 6 0
48 46 6 0
63 46 6 0
63 36 6 0
63 28 6 0
63 4 6 0
49 38 9 0
49 41 9 0
49 38 9 0
49 38 9 0
49 38 9 0
49 9 9 0
49 38 9 0
49 41 9 0
49 17 9 0
17 33 0 0
17 24 0 0
17 31 2 1
17 31 2 1
17 16 0 0
17 32 0 0
17 26 0 0
17 31 2 2
17 34 0 0
17 31 0 0
17 32 0 0
17 16 0 0
17 25 0 0
17 30 0 0
17 11 0 0
17 25 0 0
17 24 0 0
17 27 2 1
17 17 0 0
17 32 0 0
17 32 0 0
0 44 2 0
0 16 2 0
0 37 2 0
106 44 8 0
106 47 2 1
106 4 8 0
106 45 8 0
106 9 8 0
106 9 8 0
106 38 2 1
30 6 10 0
30 47 10 1
30 47 10 0
30 24 10 1
81 4 0 1
81 43 8 0
81 16 8 0
82 9 2 0
82 38 0 1
92 31 2 0
92 31 3 1
92 44 2 0
92 24 0 2
92 9 2 0
92 20 1 3
92 12 3 1
92 24 2 0
92 31 2 4
92 21 3 1
92 43 6 5
92 20 2 4
92 24 0 2
89 42 2 0
89 47 10 1
89 5 10 1
89 41 2 0
89 49 10 1
62 38 9 0
2 8 4 0
2 8 4 0
2 21 4 0
2 24 4 0
2 21 4 0
2 20 4 0
2 24 4 0
2 8 4 0
2 40 4 0
2 8 4 0
2 8 4 0
2 8 4 0
2 21 4 0
2 41 4 0
2 24 7 1
2 31 4 0
2 24 4 0
2 25 4 0
2 21 4 0
2 41 4 0
2 21 4 0
95 18 10 1
95 9 6 0
95 9 6 0
95 43 10 1
95 18 10 2
52 31 2 1
52 42 2 0
52 20 2 2
52 31 2 0
52 11 2 0
52 42 2 1
52 1 2 0
52 42 2 1
52 42 2 1
37 31 2 0
37 20 2 1
37 39 2 0
37 48 2 0
37 39 2 0
37 17 0 2
37 39 2 1
37 48 2 1
37 48 2 1
37 14 2 0
37 24 7 3
37 48 2 0
37 7 2 1
37 39 2 0
37 24 2 0
37 20 2 0
37 14 2 0
25 24 0 0
25 17 0 0
25 32 0 0
25 16 0 0
25 24 0 0
25 3 0 0
78 42 2 0
78 42 2 0
78 42 2 0
78 20 2 0
78 20 2 0
78 31 2 0
78 31 2 0
23 11 0 2
23 26 0 0
23 26 0 2
23 48 8 1
23 3 0 0
23 35 8 1
23 26 0 2
23 39 8 1
23 35 8 1
23 30 0 2
23 30 0 2
23 24 0 2
23 30 0 2
23 30 0 0
23 39 0 0
23 28 0 2
23 45 8 1
23 30 0 2
23 11 0 2
23 11 0 0
23 35 8 1
23 26 0 0
20 30 3 0
20 39 3 0
20 31 3 0
20 39 3 0
20 21 3 0
20 39 3 0
20 39 8 1
20 21 3 0
20 3 8 1
20 21 3 0
20 39 3 0
20 41 3 0
20 32 3 0
20 32 3 0
20 24 3 0
56 42 2 0
7 16 6 0
42 3 8 1
42 0 1 0
42 45 8 1
42 0 1 0
36 20 2 0
36 35 2 0
36 35 2 0
36 39 2 0
36 7 2 0
36 7 2 1
36 40 2 0
36 39 2 1
36 1 2 1
36 24 2 1
36 7 2 0
36 40 2 0
36 30 2 0
36 7 2 0
36 20 2 0
36 40 2 0
36 14 2 1
36 48 2 1
36 42 2 0
36 22 2 0
5 20 0 0
5 37 9 1
21 26 3 0
21 20 0 1
21 26 0 1
21 34 3 0
21 39 3 0
21 22 3 0
21 39 3 0
21 17 0 1
21 21 3 0
21 22 3 0
21 30 3 0
21 24 3 0
21 39 3 0
21 24 3 0
21 26 3 0
21 22 3 0
21 22 3 0
21 31 3 0
21 30 3 0
21 22 3 0
21 21 3 0
21 21 3 0
21 22 3 0
21 21 3 0
21 39 3 0
21 31 3 0
21 11 3 0
21 30 3 0
21 22 3 0
86 12 6 0
86 13 6 1
86 9 8 2
88 47 7 0
88 43 10 1
60 47 2 0
60 9 8 1
60 43 8 1
60 45 8 1
47 24 7 0
47 3 7 0
47 24 7 0
