00000 00010 00000 00000 00002 00000 00000 00000 00000 00000 00013 00000 00001 00000 00003 00001 00006 00003 00002 00000 00001 00000 00000 00015 00003 00000 00000 00003 00000 00000 00016 00004 00002 00001 00000 00002 00000 00000 00000 00000 00001 00000 00003 00003 00000 00000 00000 00001 00001 00000 00000 00001 00000 00000 00002 00002 00000 00000 00004 00000 00000 00000 
00000 00002 00052 00001 00005 00000 00001 00011 00006 00000 00000 00005 00008 00000 00000 00000 00000 00001 00000 00001 00007 00006 00007 00002 00001 00002 00007 00005 00000 00000 00000 00000 00012 00005 00006 00000 00007 00005 00003 00006 00008 00010 00000 00000 00000 00000 00000 00000 00001 00002 00000 00005 00002 00002 00008 00001 00008 00000 00000 00000 00005 00009 
00000 00000 00006 00001 00004 00000 00000 00000 00000 00006 00000 00002 00000 00002 00000 00000 00002 00000 00002 00010 00000 00001 00001 00000 00007 00003 00006 00001 00003 00009 00000 00000 00002 00000 00002 00000 00001 00001 00015 00002 00003 00000 00000 00000 00004 00001 00000 00001 00000 00009 00000 00002 00000 00000 00000 00001 00000 00000 00000 00002 00000 00000 
00000 00003 00000 00001 00003 00005 00003 00000 00000 00000 00000 00000 00000 00001 00004 00000 00002 00000 00001 00000 00005 00000 00000 00000 00001 00000 00000 00000 00006 00000 00000 00000 00001 00000 00002 00001 00000 00001 00000 00002 00003 00001 00000 00000 00000 00002 00009 00000 00005 00000 00005 00004 00000 00000 00000 00000 00004 00003 00003 00013 00000 00000 
00000 00062 00000 00004 00000 00000 00002 00002 00000 00006 00001 00001 00007 00008 00002 00000 00001 00000 00000 00001 00000 00002 00002 00000 00002 00002 00001 00005 00002 00008 00000 00003 00004 00001 00000 00006 00004 00004 00000 00007 00002 00008 00016 00006 00003 00004 00000 00006 00000 00001 00002 00003 00010 00014 00009 00005 00004 00001 00003 00001 00000 00003 
00000 00000 00001 00002 00000 00002 00001 00000 00000 00000 00000 00003 00000 00000 00000 00000 00000 00000 00000 00004 00001 00000 00001 00000 00000 00003 00000 00000 00000 00000 00000 00000 00000 00000 00001 00000 00002 00000 00000 00000 00000 00000 00001 00000 00000 00001 00000 00000 00002 00001 00000 00000 00000 00000 00000 00000 00000 00001 00003 00000 00000 00000 
00000 00001 00000 00000 00000 00000 00000 00001 00007 00001 00000 00000 00000 00001 00000 00000 00000 00001 00001 00000 00002 00000 00000 00000 00000 00000 00003 00000 00000 00000 00000 00000 00000 00000 00000 00001 00000 00000 00001 00000 00000 00001 00000 00002 00000 00000 00000 00001 00000 00000 00000 00000 00000 00000 00000 00000 00001 00000 00000 00000 00000 00000 
00000 00001 00001 00002 00001 00000 00003 00000 00000 00000 00000 00001 00000 00001 00002 00000 00000 00007 00001 00004 00001 00000 00002 00000 00001 00001 00000 00002 00000 00000 00000 00000 00001 00003 00000 00001 00004 00000 00002 00001 00003 00001 00000 00000 00000 00000 00000 00000 00000 00001 00000 00005 00000 00000 00001 00000 00001 00000 00000 00000 00001 00000 
00000 00000 00000 00001 00000 00006 00006 00000 00000 00002 00000 00009 00000 00002 00005 00011 00001 00000 00004 00000 00003 00002 00005 00001 00002 00004 00000 00000 00000 00000 00000 00004 00001 00001 00004 00000 00001 00002 00000 00000 00001 00002 00000 00001 00010 00014 00004 00004 00010 00000 00004 00014 00000 00005 00009 00007 00003 00008 00001 00003 00005 00000 
00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00001 00000 
