d w z t
11 82 0 0
11 65 0 0
11 55 0 0
11 42 0 0
11 74 0 0
11 65 0 0
11 28 0 0
11 65 0 0
11 65 0 0
11 65 0 0
11 65 0 0
11 45 0 0
11 74 0 0
11 28 0 0
11 36 0 0
11 74 0 0
11 37 0 0
11 77 0 0
11 77 0 0
11 49 0 0
11 65 0 0
11 74 0 0
11 65 0 0
11 9 0 0
11 15 0 0
11 28 0 0
11 59 0 0
11 42 0 0
109 25 5 0
109 19 5 0
109 19 5 0
109 25 5 0
109 25 5 0
109 55 5 0
109 30 5 0
109 25 5 0
109 25 5 0
109 25 5 0
109 10 5 0
109 59 3 1
109 76 5 0
109 70 3 1
109 76 5 0
109 47 5 0
109 86 5 0
109 53 5 0
109 5 5 0
109 65 5 0
109 25 5 0
109 10 5 0
109 10 5 0
109 26 3 1
109 82 5 0
109 82 5 0
38 65 1 0
38 33 1 0
38 71 1 0
38 36 1 0
38 79 1 0
38 59 1 0
38 7 0 1
38 19 1 0
38 65 1 0
38 48 1 0
38 71 1 0
38 11 6 2
38 60 1 0
38 9 0 1
38 30 1 0
38 33 1 0
38 60 0 1
38 9 1 0
38 60 0 1
38 59 1 0
38 48 1 0
38 65 1 0
38 79 1 0
38 35 1 0
38 6 1 0
38 9 1 0
38 65 0 1
38 60 0 1
20 60 1 1
20 61 0 0
20 15 0 0
20 9 0 0
20 21 0 0
20 10 5 3
20 21 0 0
20 60 1 1
20 48 1 1
20 82 5 3
20 65 0 0
20 52 5 3
20 53 5 3
20 60 1 1
20 26 0 0
20 30 5 3
20 48 1 1
20 54 1 1
20 80 7 2
20 28 1 1
20 59 0 0
20 60 1 1
20 82 0 0
20 43 5 3
20 60 0 0
20 48 5 3
20 68 7 2
20 28 0 0
20 61 0 0
105 33 6 2
105 21 6 2
105 28 6 2
105 53 0 3
105 58 5 0
105 58 4 4
105 82 4 1
105 65 4 1
105 23 4 1
105 85 4 1
105 43 5 0
13 34 6 0
13 34 6 0
13 29 6 0
13 34 4 2
13 65 6 0
13 82 0 1
13 81 6 0
13 65 6 0
13 34 6 0
13 34 6 0
13 14 0 1
13 34 0 1
13 80 0 1
13 49 0 1
13 60 0 1
13 65 6 0
13 81 6 0
13 65 6 0
13 65 0 1
13 36 0 1
13 80 0 1
13 78 0 1
13 77 0 1
13 59 0 1
13 65 6 0
80 65 0 1
80 1 4 0
80 85 4 0
80 88 4 0
80 11 4 0
80 1 4 0
80 82 4 2
80 84 4 0
80 10 4 0
80 54 4 0
22 60 1 0
22 12 1 0
22 33 1 0
22 60 1 0
22 47 1 0
22 33 1 0
22 65 6 1
22 60 1 0
22 27 1 0
22 15 1 0
22 27 1 0
22 42 1 0
22 27 1 0
22 32 1 0
22 60 1 0
22 12 1 0
22 33 1 0
22 71 1 0
22 27 1 0
22 60 1 0
22 60 1 0
22 27 1 0
22 32 1 0
22 44 1 0
22 12 1 0
22 35 1 0
22 33 1 0
22 12 1 0
22 37 1 0
22 47 1 0
22 27 1 0
22 60 1 0
22 12 1 0
22 57 1 0
22 36 1 0
22 60 1 0
22 32 1 0
22 60 1 0
22 29 6 1
22 69 1 0
22 33 1 0
22 49 1 0
2 43 7 0
2 59 7 0
2 48 7 0
2 13 7 0
2 68 7 0
2 20 7 0
2 43 7 0
2 65 7 0
2 68 7 0
2 65 7 0
2 59 7 0
2 13 7 0
2 59 7 0
2 48 7 0
2 48 7 0
2 13 7 0
2 19 7 0
2 39 7 0
2 6 7 0
2 48 7 0
2 13 7 0
2 49 7 0
2 59 7 0
2 48 7 0
2 13 7 0
2 80 7 0
2 68 7 0
2 72 7 0
2 13 7 0
2 54 7 0
66 50 6 1
66 50 6 0
66 50 6 0
66 65 6 0
6 70 9 0
6 67 9 0
6 67 9 0
6 36 9 0
6 67 9 0
6 67 9 0
6 67 9 0
6 20 9 0
6 23 9 0
6 67 5 2
6 67 9 0
6 9 0 1
6 80 9 0
6 38 9 0
6 9 9 0
6 20 9 0
6 59 0 3
6 23 9 0
6 80 9 0
6 80 0 1
6 67 9 0
6 87 7 4
6 65 0 3
6 59 0 1
6 67 9 0
6 67 9 0
6 81 0 1
96 65 1 0
96 82 4 2
96 51 4 2
96 18 8 1
96 88 4 2
96 57 8 1
96 7 1 0
96 69 1 0
96 58 4 2
96 46 1 0
96 84 4 2
96 83 1 0
96 7 4 2
100 44 3 1
100 23 4 0
100 51 4 0
100 65 4 2
100 23 4 0
100 88 4 0
100 23 4 0
100 2 4 0
100 23 4 0
100 58 4 2
100 54 4 0
69 65 4 0
30 83 4 0
30 65 4 0
30 55 4 0
30 62 3 1
30 70 4 2
30 34 4 0
30 70 3 1
30 34 4 0
30 55 4 0
30 82 4 0
30 59 4 0
30 8 3 1
90 47 3 1
90 8 3 1
90 17 6 0
90 43 6 0
90 34 6 0
90 65 3 1
90 47 3 1
90 54 6 0
90 87 3 1
90 44 6 0
27 85 4 0
27 65 4 0
27 36 4 0
27 85 4 0
27 58 4 0
27 51 4 0
27 51 4 0
27 4 4 0
27 51 4 0
27 82 4 0
27 51 4 0
27 82 4 0
27 40 4 0
27 83 4 0
27 84 4 0
78 23 4 0
78 88 4 0
78 76 4 0
78 58 4 0
78 71 4 0
78 6 8 1
78 45 4 0
78 10 4 0
78 84 8 1
78 58 4 0
78 84 4 0
78 82 4 0
78 65 4 0
78 40 8 1
78 82 4 0
78 14 4 0
70 66 4 0
70 51 4 0
70 10 4 0
70 85 4 0
70 83 8 1
70 30 4 0
70 51 4 0
70 68 4 0
70 86 4 0
70 85 4 0
70 69 4 0
70 85 4 0
70 65 4 0
77 22 2 0
77 82 2 0
77 88 2 0
77 82 2 0
77 54 2 0
77 39 2 0
77 56 2 0
77 18 2 0
77 63 2 0
77 56 2 0
77 39 2 0
77 41 2 0
77 41 2 0
77 73 2 0
77 6 2 0
77 73 2 0
77 65 2 0
77 41 2 0
77 65 2 0
77 73 2 0
77 14 2 0
77 65 2 0
77 65 2 0
77 22 2 0
77 63 2 0
77 82 2 0
77 61 2 0
77 63 2 0
77 57 2 0
77 65 2 0
77 73 2 0
77 41 2 0
77 41 2 0
77 47 2 0
77 22 2 0
77 22 2 0
77 26 2 0
77 7 2 0
77 41 2 0
77 18 2 0
77 63 2 0
77 31 2 0
77 65 2 0
77 65 2 0
77 63 2 0
77 65 2 0
77 31 2 0
77 63 2 0
77 73 2 0
77 64 2 0
62 65 0 1
62 89 4 0
62 2 4 2
62 51 4 2
62 2 4 2
84 51 4 0
84 45 4 0
84 65 4 0
84 51 4 0
84 33 4 0
84 85 4 0
84 34 4 0
14 65 4 0
14 65 0 1
14 43 4 0
14 65 4 0
14 60 0 1
14 60 0 1
14 80 0 2
14 60 0 2
14 65 0 1
14 60 0 1
14 14 0 2
14 42 0 1
14 82 0 1
14 57 0 1
14 14 0 2
14 34 4 0
14 65 0 3
14 65 0 1
14 77 0 3
14 77 0 2
14 5 0 1
14 10 4 0
45 57 8 0
45 58 8 0
45 56 8 0
45 37 8 0
45 33 8 0
45 65 8 0
45 21 6 1
45 6 8 0
45 56 8 0
101 26 7 0
101 12 7 0
101 52 7 0
101 12 7 0
101 65 7 0
101 6 7 0
101 86 7 0
101 52 7 0
101 52 7 0
101 80 7 0
101 11 4 1
101 59 0 2
101 75 7 0
101 59 7 0
101 3 0 2
101 12 7 0
101 12 7 0
101 51 4 1
101 34 4 1
101 48 7 0
101 68 7 0
101 35 7 0
41 78 1 0
41 24 1 0
41 7 1 0
41 65 1 0
41 65 6 1
41 32 1 0
41 34 1 0
41 34 1 0
41 65 1 0
41 65 1 0
41 78 1 0
41 60 1 0
41 65 1 0
41 7 1 0
41 32 1 0
41 78 1 0
41 78 1 0
41 78 1 0
41 59 1 0
41 54 1 0
41 65 1 0
41 60 0 2
41 59 3 3
41 7 1 0
41 79 1 0
41 7 1 0
51 10 7 1
51 5 7 1
51 65 7 1
51 5 7 1
51 87 7 1
51 65 6 2
51 57 0 0
51 5 7 1
51 7 7 1
40 32 1 0
40 65 1 0
40 65 1 0
40 60 1 0
40 21 1 0
40 48 1 0
40 32 1 0
40 78 1 0
40 60 1 0
40 80 1 0
40 65 1 0
40 59 1 0
40 32 1 0
40 60 1 0
40 32 1 0
40 60 1 0
40 78 1 0
40 78 1 0
40 79 1 0
40 48 1 0
40 6 1 0
40 65 1 0
40 10 1 0
40 34 1 0
40 32 1 0
40 80 1 0
40 37 1 0
40 60 1 0
40 7 1 0
40 32 1 0
40 78 1 0
40 79 1 0
40 60 1 0
40 28 1 0
88 14 4 1
88 66 3 0
88 75 3 0
88 65 3 0
88 8 3 0
88 38 4 1
88 33 4 1
88 65 3 0
88 72 3 0
88 59 3 0
88 70 3 0
61 82 6 1
61 79 8 0
61 45 6 1
61 82 8 0
61 65 6 1
61 54 6 1
61 37 4 2
61 79 8 0
61 45 6 1
23 36 1 0
23 60 1 0
23 35 10 2
23 59 1 0
23 36 1 0
23 55 0 1
23 69 1 0
23 53 10 2
23 36 1 0
23 69 1 0
23 72 10 2
23 11 1 0
23 29 1 0
23 65 3 3
23 9 0 1
23 16 10 2
23 71 1 0
23 16 10 2
23 27 1 0
23 33 1 0
23 60 1 0
23 29 10 2
23 16 10 2
23 36 1 0
23 66 10 2
44 47 4 1
44 65 4 1
44 58 4 1
44 53 5 0
44 87 5 0
44 25 5 0
44 53 5 0
44 82 5 0
44 65 6 2
24 74 0 1
24 20 0 1
24 3 6 0
24 55 0 1
24 43 6 0
24 34 6 0
24 65 0 1
24 80 0 1
24 34 6 0
24 65 6 0
24 44 6 0
24 34 0 1
24 64 6 0
24 9 0 1
24 11 6 0
24 80 0 1
24 14 0 1
24 37 6 0
24 86 0 1
24 34 6 0
24 65 6 0
86 44 2 0
86 37 2 0
86 65 2 0
86 61 2 0
86 82 2 0
86 56 2 0
43 65 3 0
43 75 3 0
43 57 3 0
43 75 3 0
43 44 3 0
43 40 3 0
56 19 3 0
56 8 3 0
56 8 3 0
56 31 3 0
56 8 3 0
56 70 3 0
56 17 3 0
56 8 3 0
56 65 3 0
53 25 5 0
53 25 5 0
53 43 5 0
53 87 5 0
53 65 5 0
53 19 5 0
53 11 5 0
53 20 5 0
53 43 5 0
53 25 5 0
53 20 5 0
53 25 5 0
53 11 5 0
53 59 5 0
29 10 4 0
29 65 4 0
29 88 4 0
29 15 0 1
29 84 4 0
29 44 3 2
29 43 6 3
29 59 6 3
46 66 3 0
46 66 3 0
46 44 3 0
46 59 3 0
46 59 3 0
46 59 3 0
46 66 3 0
46 66 3 0
46 65 3 0
48 82 2 1
48 76 8 0
48 38 8 0
48 82 2 1
48 64 2 1
48 65 4 2
48 18 2 1
37 60 1 0
37 54 1 0
37 78 1 0
37 71 1 0
37 59 1 0
37 40 1 0
37 65 1 0
37 40 1 0
37 65 1 0
37 71 1 0
37 40 1 0
37 71 1 0
37 59 1 0
37 60 1 0
37 79 1 0
37 60 1 1
37 65 1 0
37 40 1 0
37 71 1 0
37 80 1 0
37 60 1 0
81 65 4 1
81 65 4 1
81 51 4 1
81 33 4 1
81 51 4 2
81 70 4 1
81 7 4 1
81 14 0 0
81 51 4 1
81 26 0 0
81 36 0 0
81 18 4 1
81 11 6 3
81 16 0 0
81 51 4 1
81 9 0 0
81 47 4 1
81 68 4 1
108 82 4 0
108 85 4 0
108 75 4 0
108 47 4 0
108 59 0 1
108 45 4 0
108 2 4 0
108 65 4 0
108 51 4 0
98 65 0 1
98 41 7 2
98 14 4 0
98 52 7 2
98 18 7 2
98 51 4 0
63 82 4 0
63 76 4 0
63 66 4 0
63 85 4 0
63 45 4 0
63 11 4 0
63 65 4 0
50 42 2 0
50 72 2 0
50 42 2 0
50 73 2 0
50 82 2 0
50 56 2 0
50 65 2 0
50 73 2 0
50 72 2 0
50 72 2 0
19 60 0 0
19 80 0 0
19 73 0 0
19 34 0 0
19 65 0 0
19 60 0 0
19 60 0 0
19 77 0 0
19 9 0 0
19 16 0 0
19 87 0 0
19 53 0 0
19 59 0 0
19 57 0 0
19 80 0 0
