d w z t
52 42 7 1
52 42 7 1
52 42 7 1
52 42 7 1
57 49 5 0
43 2 6 1
43 49 4 0
43 17 4 0
5 20 1 0
5 37 8 1
96 10 9 0
96 45 9 0
96 10 9 0
96 10 9 0
96 10 9 0
0 44 8 0
0 37 8 0
0 16 8 0
32 16 4 0
32 37 4 0
32 16 4 0
61 7 3 0
61 6 3 0
61 7 3 0
61 34 3 0
107 24 4 0
107 36 4 0
39 39 0 0
39 24 0 0
39 30 0 0
39 24 0 0
39 30 0 0
39 24 0 0
39 30 0 0
39 24 0 0
39 30 0 0
39 30 0 0
39 33 0 0
39 35 0 0
39 39 0 0
39 32 0 0
39 30 0 0
39 32 0 0
39 24 0 0
39 7 0 0
39 24 0 0
39 24 0 0
39 11 0 0
39 16 8 1
39 11 0 0
39 30 0 0
39 45 0 0
39 30 0 0
39 39 0 0
71 2 8 0
71 24 6 1
71 47 5 2
71 46 5 2
71 43 8 0
104 36 5 0
104 13 5 0
104 46 5 0
104 32 5 0
104 2 8 1
104 41 8 1
104 45 5 0
104 3 8 1
56 42 7 0
101 12 5 0
101 46 5 0
101 16 5 0
51 6 7 0
51 12 7 0
51 20 2 1
51 6 5 2
10 29 0 0
10 30 0 0
10 39 0 0
10 30 0 0
10 20 2 1
10 32 0 0
10 29 2 1
10 26 2 1
10 30 0 0
10 11 0 0
10 39 0 0
10 14 3 2
10 29 0 0
10 30 0 0
10 20 2 1
10 32 0 0
10 30 0 0
10 32 0 0
10 11 0 0
10 20 0 0
10 20 2 3
10 31 2 1
10 16 2 1
10 29 0 0
10 32 0 0
10 20 2 1
10 24 0 0
44 20 4 0
44 3 4 0
44 3 4 0
92 44 5 1
92 31 2 2
92 12 5 1
92 20 2 2
92 24 4 0
92 24 2 2
92 20 2 2
92 31 4 0
92 43 5 1
92 31 5 1
92 9 5 1
92 24 4 0
92 21 4 0
29 24 6 0
29 6 6 2
29 49 5 1
29 41 6 0
29 12 5 1
29 43 8 3
13 47 2 0
13 20 2 0
13 39 2 0
