d w z t
61 7 2 0
61 34 1 1
61 6 2 0
61 7 2 0
62 38 3 0
23 11 1 1
23 26 1 1
23 39 1 1
23 39 1 1
23 35 1 1
23 30 1 1
23 28 4 0
23 11 1 1
23 26 1 1
23 3 1 1
23 30 1 1
23 35 1 1
23 26 1 1
23 48 2 2
23 30 1 1
23 30 1 1
23 45 1 1
23 11 1 1
23 26 1 1
23 24 1 3
23 30 1 1
23 35 3 4
60 45 3 0
60 47 3 0
60 9 3 0
60 43 3 0
49 41 3 0
49 38 3 0
49 9 3 0
49 38 3 0
49 41 5 1
49 38 3 0
49 17 3 0
49 38 3 2
49 38 3 0
50 12 0 1
50 33 9 0
50 37 9 0
50 15 9 0
50 33 9 0
52 42 5 0
52 31 5 0
52 11 1 1
52 1 5 0
52 42 5 0
52 31 5 0
52 42 5 0
52 42 5 0
52 20 5 0
43 17 7 1
43 2 3 0
43 49 7 1
7 16 3 0
100 47 5 1
100 24 7 3
100 10 5 1
100 2 5 4
100 2 5 2
100 31 1 5
100 18 7 0
100 31 1 6
100 24 7 0
100 18 5 4
100 21 7 0
14 20 2 1
14 39 6 2
14 33 2 1
14 16 9 0
14 47 2 1
14 39 2 1
14 20 2 1
14 40 2 1
14 20 2 1
14 39 6 2
14 41 9 0
14 39 6 2
14 20 2 1
14 20 2 1
14 16 9 0
14 12 2 1
14 31 2 1
25 3 1 0
25 17 1 0
25 16 1 0
25 24 1 0
25 32 5 1
25 24 1 0
67 46 3 0
67 44 3 0
106 47 3 0
106 38 1 1
106 9 5 2
106 4 3 0
106 44 3 0
106 9 3 0
106 45 3 0
59 19 9 0
59 46 9 0
59 19 9 0
59 19 9 0
59 19 9 0
59 6 9 0
59 19 9 0
59 24 3 1
59 16 9 0
59 19 9 0
40 39 6 0
40 6 6 0
40 22 6 0
40 21 6 0
40 22 6 0
40 31 2 1
40 20 2 1
40 22 6 0
40 20 2 1
40 22 6 0
40 32 6 0
40 22 2 1
40 7 2 1
40 22 6 0
40 39 2 1
40 47 2 1
40 31 2 1
40 39 6 0
40 39 6 0
40 39 6 0
40 24 2 1
40 20 2 1
40 7 2 1
40 34 6 0
40 39 2 1
40 21 6 0
105 4 3 1
105 27 1 0
105 34 1 0
3 8 4 0
3 8 4 0
3 8 4 0
3 13 4 0
3 31 4 0
3 31 4 0
3 25 4 0
3 20 0 1
3 8 4 0
3 21 4 0
3 41 4 0
46 24 7 0
46 28 7 0
46 28 7 1
46 28 7 0
46 49 7 0
46 24 7 0
46 28 7 0
46 24 7 0
13 20 2 0
13 47 2 0
13 20 2 0
13 31 2 0
13 47 2 0
13 47 2 0
13 26 2 0
13 31 2 0
13 24 2 0
13 20 2 0
13 25 2 0
13 39 2 0
13 20 2 0
13 20 2 0
13 47 2 0
13 47 2 0
13 16 2 0
13 47 2 0
90 23 0 0
90 20 0 0
90 20 0 0
90 23 0 0
90 0 0 0
90 0 0 0
90 20 0 0
90 20 0 0
90 23 0 0
90 0 0 0
90 12 0 0
90 20 0 0
90 20 0 0
90 20 0 0
90 0 0 0
94 49 5 0
94 42 5 0
94 48 5 0
94 47 5 0
94 44 5 0
94 48 5 0
1 8 4 0
1 31 4 0
1 45 4 0
1 8 4 0
1 31 4 0
1 45 6 1
1 39 1 2
1 8 4 0
1 31 1 2
1 13 4 0
1 20 1 2
1 39 6 3
1 13 4 0
1 7 4 0
1 39 6 1
21 22 6 0
21 20 1 2
21 26 1 2
21 22 6 0
21 21 6 0
21 22 6 0
21 30 1 2
21 21 6 0
21 11 1 2
21 30 6 0
21 26 1 1
21 30 1 2
21 22 6 0
21 17 6 0
21 34 6 0
21 31 1 2
21 39 6 0
21 22 6 0
21 21 6 0
21 39 6 0
21 24 6 0
21 26 1 2
21 31 1 2
21 39 6 0
21 21 6 0
21 24 1 2
21 39 6 0
21 22 6 0
21 22 6 0
34 15 3 1
34 17 7 0
34 37 7 0
20 39 6 0
20 32 6 0
20 39 6 0
20 21 6 0
20 39 6 0
20 32 6 0
20 21 6 0
20 31 1 2
20 41 3 3
20 39 6 0
20 24 1 1
20 21 6 0
20 30 6 0
20 3 9 4
20 39 6 0
91 17 1 0
91 24 1 1
45 27 3 1
45 45 3 0
45 46 3 1
45 34 3 2
45 12 3 1
24 47 5 1
24 10 5 0
24 47 2 2
24 30 5 0
24 31 5 0
24 10 5 0
24 20 1 3
24 16 5 0
24 41 5 0
24 34 1 4
24 15 5 0
24 47 5 1
24 47 5 1
24 31 2 2
24 49 7 5
24 20 2 2
24 10 5 1
24 10 5 0
57 49 6 0
101 46 3 0
101 12 3 0
101 16 1 1
63 46 3 0
63 36 3 0
63 4 3 0
63 28 4 1
107 24 4 0
107 36 9 1
104 2 3 0
104 41 3 0
104 3 3 0
104 46 3 0
104 32 5 1
104 45 3 0
104 13 3 0
104 36 3 0
39 30 1 1
39 24 1 0
39 24 1 0
39 30 1 0
39 30 1 1
39 39 1 0
39 30 1 0
39 24 1 1
39 45 1 0
39 30 1 0
39 39 1 0
39 24 1 1
39 32 1 0
39 11 1 2
39 33 1 0
39 39 1 1
39 24 1 0
39 35 1 1
39 30 1 0
39 11 1 0
39 24 1 0
39 7 1 1
39 32 1 0
39 16 1 0
39 24 1 0
39 30 1 0
39 30 1 0
84 36 3 0
84 47 3 0
84 18 7 1
84 12 3 0
84 46 3 0
88 47 3 0
88 43 3 1
26 3 4 0
26 27 3 1
97 12 3 0
97 16 3 0
97 15 3 0
89 47 5 0
89 41 5 0
89 42 5 0
89 49 5 0
89 5 5 0
17 32 1 0
17 31 1 1
17 31 1 0
17 25 1 0
17 24 1 0
17 32 1 0
17 17 1 0
17 33 1 0
17 34 1 0
17 11 1 0
17 26 1 0
17 27 1 0
17 25 1 1
17 31 1 0
17 24 1 0
17 32 1 0
17 31 1 0
17 32 1 0
17 30 1 0
17 16 1 0
17 16 1 0
64 4 3 0
64 43 3 0
64 20 0 1
64 4 3 0
64 43 3 2
64 36 3 2
15 17 8 0
15 38 8 0
15 36 3 1
12 39 2 0
12 42 2 0
12 31 2 0
12 20 2 0
12 20 2 0
12 17 3 1
12 31 2 0
12 20 2 0
12 48 2 0
12 7 2 0
12 20 2 0
12 7 2 0
12 16 2 0
12 31 2 0
12 14 2 0
12 7 2 0
12 22 2 0
12 20 2 0
12 25 2 0
53 41 4 0
53 19 4 0
53 24 5 1
53 41 4 0
103 49 3 0
103 9 3 0
103 12 3 0
18 34 1 0
18 33 1 0
18 11 1 0
18 20 1 0
18 17 1 0
18 24 1 0
18 22 1 0
18 31 1 0
18 31 1 0
18 32 1 0
18 25 1 0
18 31 1 0
18 31 1 0
18 20 1 0
18 39 1 0
18 20 1 1
18 30 1 0
18 31 5 2
38 45 6 0
38 45 6 0
38 39 6 0
38 48 2 1
38 7 6 0
38 30 2 1
38 20 2 1
38 39 2 1
38 26 2 1
38 30 2 1
38 20 2 1
38 48 6 0
38 7 6 0
38 24 2 1
38 24 2 1
38 21 6 0
38 30 6 0
38 18 6 0
38 14 2 1
38 39 6 0
38 20 2 1
38 39 2 1
38 21 6 0
80 45 1 0
80 20 1 0
80 30 1 0
80 16 1 0
80 26 1 0
80 11 1 0
72 27 3 0
72 44 3 0
51 12 0 0
51 20 0 0
51 6 0 0
51 6 0 0
56 42 5 0
22 22 6 0
22 34 6 0
22 39 6 0
22 33 6 0
22 12 6 0
22 39 6 0
22 22 6 0
22 25 6 0
22 45 6 1
22 48 6 1
22 39 6 0
22 39 6 0
22 39 6 0
22 22 6 1
22 45 6 0
22 45 6 0
22 26 6 0
22 39 6 0
22 45 6 0
22 39 6 0
22 45 6 0
22 39 6 1
