d w z t
78 31 2 0
78 20 2 0
78 31 2 0
78 42 2 0
78 20 2 0
78 42 2 0
78 42 2 0
77 48 2 1
77 13 4 0
77 16 4 0
77 43 4 0
77 15 4 2
77 43 4 3
77 15 4 0
77 17 4 3
70 9 4 0
70 9 4 0
70 3 4 0
70 9 4 0
107 24 2 0
107 36 0 1
60 45 4 0
60 43 4 0
60 47 4 0
60 9 4 1
37 24 2 0
37 39 2 0
37 48 2 0
37 17 2 0
37 48 2 0
37 14 2 0
37 14 2 0
37 39 2 0
37 48 2 0
37 20 2 0
37 48 2 0
37 20 2 0
37 39 2 0
37 39 2 0
37 7 2 0
37 24 2 0
37 31 2 0
43 17 7 0
43 49 7 0
43 2 7 0
79 12 9 0
79 43 9 0
79 46 9 0
79 12 9 0
79 36 9 0
79 27 9 0
90 0 1 0
90 20 1 0
90 20 1 0
90 23 1 0
90 12 1 0
90 23 1 0
90 0 1 0
90 23 1 0
90 0 1 0
90 20 1 0
90 20 1 0
90 20 1 0
90 20 1 0
90 20 1 0
90 0 1 0
91 24 5 0
91 17 4 1
53 24 7 0
53 41 7 0
53 19 0 1
53 41 4 2
106 38 4 0
106 9 4 0
106 4 4 0
106 44 4 0
106 9 11 1
106 45 4 0
106 47 4 0
19 24 0 0
19 39 3 1
19 24 0 0
19 31 2 2
19 47 2 2
19 30 0 0
19 32 3 1
19 39 2 2
19 31 3 1
19 22 3 1
19 3 3 1
19 39 2 2
19 45 3 1
19 31 2 2
19 30 3 1
19 11 3 1
19 14 2 2
59 6 13 0
59 19 13 0
59 19 13 0
59 19 13 0
59 16 13 0
59 24 7 1
59 19 13 0
59 46 13 0
59 19 13 0
59 19 13 0
97 16 2 0
97 12 9 1
97 15 9 1
94 47 12 0
94 49 12 0
94 42 12 0
94 48 12 0
94 44 9 1
94 48 12 0
89 5 12 0
89 42 12 0
89 41 12 0
89 49 12 0
89 47 12 0
74 39 2 0
74 31 2 3
74 31 2 1
74 39 2 0
74 25 2 1
74 26 12 4
74 11 0 2
74 10 2 1
74 30 0 5
74 10 2 1
74 31 2 0
86 12 8 1
86 13 4 0
86 9 4 0
45 46 9 0
45 45 9 0
45 34 9 0
45 27 9 0
45 12 9 0
4 26 3 0
4 22 3 0
4 24 5 1
4 32 3 0
4 45 3 0
4 45 3 0
4 39 3 0
4 11 3 0
4 24 3 0
4 49 3 0
4 8 5 1
4 30 3 0
4 24 8 2
4 43 3 0
4 43 8 2
4 49 3 0
4 45 8 2
69 36 9 0
69 36 9 0
69 15 9 0
69 28 9 0
69 36 9 0
69 12 9 0
69 27 9 0
69 5 9 0
69 5 9 0
16 0 1 0
16 17 1 0
16 20 1 0
16 37 1 0
6 24 10 0
6 13 10 0
6 30 0 1
6 6 11 2
