d w z t
20 3 7 0
20 32 7 2
20 41 4 3
20 21 7 0
20 30 0 1
20 39 7 0
20 39 7 0
20 21 7 0
20 31 7 0
20 39 7 0
20 39 7 0
20 39 7 0
20 32 7 0
20 21 7 0
20 24 7 0
3 20 1 1
3 31 4 0
3 8 4 0
3 21 4 0
3 25 4 0
3 41 4 0
3 8 4 0
3 8 4 0
3 13 4 0
3 8 4 0
3 31 4 0
18 39 3 0
18 24 0 1
18 17 2 2
18 30 0 1
18 31 3 0
18 34 0 1
18 31 2 2
18 20 2 2
18 25 0 1
18 31 3 0
18 33 3 0
18 31 3 0
18 32 3 0
18 31 3 0
18 11 0 1
18 20 2 2
18 20 2 2
18 22 3 0
55 1 5 0
55 20 5 0
55 17 5 0
55 17 8 1
55 24 5 0
55 1 5 0
55 1 5 0
55 21 5 0
55 24 5 0
55 1 5 0
55 24 5 0
55 1 5 0
55 1 5 0
55 24 5 0
105 4 1 0
105 34 1 0
105 27 1 1
2 25 4 0
2 21 4 0
2 40 4 0
2 8 4 0
2 21 4 0
2 41 4 0
2 8 4 0
2 31 4 0
2 24 4 0
2 8 4 0
2 24 4 0
2 21 4 0
2 24 4 0
2 8 4 0
2 8 4 0
2 41 4 0
2 20 4 0
2 24 4 0
2 21 4 0
2 21 4 0
2 8 4 0
78 31 3 1
78 42 3 1
78 20 3 0
78 42 3 0
78 31 3 0
78 42 3 0
78 20 3 1
87 24 5 0
87 44 5 0
87 4 5 0
87 45 5 0
87 16 5 0
87 20 5 0
87 28 5 0
84 46 13 1
84 36 1 0
84 18 13 1
84 12 1 0
84 47 6 2
63 46 1 1
63 28 0 0
63 36 1 1
63 4 1 1
81 4 1 0
81 43 1 0
81 16 0 1
1 39 7 1
1 39 7 1
1 13 4 0
1 8 7 1
1 31 4 0
1 45 7 1
1 7 7 1
1 45 7 1
1 13 6 2
1 8 4 0
1 20 7 1
1 8 4 0
1 31 7 1
1 39 7 1
1 31 6 3
34 15 1 1
34 37 2 0
34 17 8 2
12 14 3 1
12 22 3 1
12 17 10 2
12 48 3 1
12 39 3 1
12 31 3 1
12 42 3 1
12 7 3 0
12 16 3 1
12 31 3 1
12 20 3 1
12 7 3 1
12 20 3 1
12 20 3 1
12 20 3 1
12 25 2 3
12 31 3 0
12 20 3 1
12 7 3 4
61 7 5 0
61 34 5 0
61 6 11 1
61 7 11 1
42 0 2 0
42 3 14 1
42 45 2 0
42 0 2 0
53 24 6 0
53 19 11 1
53 41 6 0
53 41 11 1
48 37 9 0
48 46 0 1
10 20 2 2
10 39 0 0
10 30 0 0
10 26 0 0
10 29 0 0
10 32 0 0
10 30 0 0
10 31 0 0
10 39 0 0
10 14 0 0
10 30 0 1
10 11 0 1
10 29 0 1
10 20 0 1
10 16 0 0
10 20 3 3
10 24 0 0
10 11 0 0
10 32 0 0
10 30 0 0
10 32 0 0
10 29 0 0
10 29 0 0
10 20 3 3
10 30 0 0
10 32 0 0
10 20 0 0
65 28 1 0
65 5 1 0
65 36 1 0
65 12 1 0
65 27 1 0
65 5 1 0
65 36 1 0
65 15 1 0
65 36 1 0
38 45 7 0
38 39 7 0
38 14 0 1
38 26 0 1
38 48 7 0
38 20 7 0
38 39 7 0
38 18 7 0
38 24 0 1
38 30 0 1
38 7 7 0
38 39 7 0
38 30 0 1
38 7 7 0
38 30 0 1
38 21 7 0
38 24 0 1
38 48 7 0
38 39 0 1
38 21 7 0
38 20 7 0
38 45 7 0
38 20 0 1
58 24 5 0
58 1 3 2
58 16 9 3
58 17 8 1
58 41 8 1
58 1 5 0
6 6 6 0
6 31 6 0
6 31 6 0
6 2 6 0
6 13 6 0
6 30 6 0
6 13 6 0
6 24 6 0
6 24 6 0
6 6 6 0
6 31 7 1
6 26 6 0
13 24 6 0
13 47 9 3
13 31 3 1
13 25 0 2
13 20 3 1
13 20 3 1
13 47 6 0
13 47 6 0
13 16 1 4
13 20 3 1
13 20 3 1
13 47 6 5
13 26 6 0
13 31 3 1
13 47 6 5
13 39 3 1
13 47 6 0
13 20 3 1
31 12 3 0
31 2 6 1
31 31 3 0
45 27 0 0
45 34 0 0
45 12 3 1
45 46 0 0
45 45 0 0
32 16 1 0
32 37 1 1
32 16 0 2
86 12 1 0
86 13 1 0
86 9 1 1
50 33 1 0
50 33 1 0
50 15 1 0
50 37 1 0
50 12 1 0
60 9 8 0
60 47 8 0
60 45 8 0
60 43 8 0
90 20 2 0
90 23 2 0
90 20 2 0
90 0 2 0
90 20 2 0
90 20 2 0
90 0 2 0
90 20 2 0
90 0 2 0
90 23 2 0
90 23 2 0
90 12 2 0
90 20 2 0
90 0 2 0
90 20 2 0
103 49 8 0
103 12 1 1
103 9 8 0
54 36 8 0
54 38 8 1
54 38 8 0
7 16 0 0
62 38 8 0
5 37 8 0
5 20 0 1
40 47 9 2
40 7 3 1
40 22 7 0
40 22 7 0
40 34 7 0
40 7 3 1
40 39 7 0
40 39 7 0
40 39 7 0
40 21 7 0
40 6 7 0
40 32 7 0
40 24 7 0
40 22 7 0
40 39 7 0
40 31 7 0
40 20 7 0
40 22 7 0
40 31 3 1
40 39 7 0
40 39 3 1
40 20 7 0
40 21 7 0
40 22 7 0
40 20 7 0
40 22 7 0
33 41 8 0
33 48 1 1
33 37 8 0
33 37 8 0
37 24 12 0
37 48 12 0
37 39 3 1
37 14 12 0
37 24 12 0
37 39 3 1
37 7 7 2
37 20 3 1
37 48 12 0
37 48 12 0
37 20 3 1
37 39 3 1
37 31 3 1
37 48 12 0
37 14 3 1
37 39 3 1
37 17 12 0
108 24 12 0
108 3 6 1
28 39 0 0
28 29 0 0
28 24 0 0
28 24 0 0
28 11 0 0
28 24 0 0
28 29 0 0
28 24 0 0
28 11 0 0
28 39 0 0
28 30 0 0
28 29 0 0
28 3 0 0
29 12 6 0
29 49 6 0
29 41 6 0
29 24 6 0
29 6 6 0
29 43 6 0
8 41 6 0
8 41 6 0
8 20 6 1
8 15 9 2
8 33 1 3
0 37 9 0
0 16 9 0
0 44 9 0
9 37 12 0
9 3 12 0
9 49 12 0
9 17 12 0
9 23 12 0
9 3 12 0
9 44 12 0
82 38 8 0
82 9 8 0
100 18 13 2
100 47 6 0
100 24 6 0
100 31 7 1
100 21 7 1
100 10 13 2
100 2 6 0
100 18 13 2
100 24 6 0
100 2 6 0
100 31 7 1
79 36 1 0
79 12 1 0
79 27 1 0
79 12 1 0
79 43 1 0
79 46 1 0
44 3 7 0
44 20 7 0
44 3 7 1
25 17 12 0
25 24 12 0
25 16 0 1
25 32 0 1
25 3 12 0
25 24 12 0
98 7 3 1
98 35 0 0
98 35 0 0
77 43 8 1
77 17 8 1
77 15 8 1
77 15 8 1
77 13 3 2
77 48 8 1
77 16 8 0
77 43 8 0
24 10 6 0
24 41 6 0
24 16 6 1
24 15 9 2
24 31 6 0
24 47 6 0
24 10 6 0
24 47 6 0
24 20 3 3
24 47 6 0
24 47 6 0
24 10 6 0
24 30 6 0
24 34 6 0
24 31 6 0
24 20 3 4
24 10 6 0
