d w z t
101 46 5 0
101 16 4 1
94 44 5 0
94 42 5 0
94 48 6 1
94 48 6 1
94 49 5 0
94 47 5 0
18 33 6 1
18 24 2 0
18 34 2 0
18 20 2 0
18 20 2 0
18 11 2 0
18 31 2 0
18 31 2 0
18 17 5 2
18 39 2 0
18 31 2 0
18 20 2 0
18 31 2 0
18 30 2 0
18 25 2 0
18 31 2 0
18 32 2 0
18 22 2 0
33 48 2 1
33 41 6 0
33 37 6 0
33 37 6 0
1 13 5 2
1 20 2 1
1 8 7 0
1 8 7 0
1 31 2 1
1 39 7 0
1 31 6 3
1 45 7 0
1 45 7 0
1 31 7 0
1 8 7 0
1 7 2 1
1 39 2 1
1 39 2 1
1 13 7 0
81 43 5 0
81 16 6 1
81 4 5 0
89 49 5 0
89 42 5 0
89 5 5 0
89 47 5 0
89 41 8 1
64 43 5 2
64 20 2 0
64 36 5 1
64 4 5 1
64 43 5 3
64 4 5 3
29 24 4 0
29 12 4 0
29 41 4 0
29 6 2 2
29 43 6 1
29 49 5 3
44 3 4 0
44 3 4 0
44 20 2 1
34 17 4 0
34 37 4 1
34 15 4 2
49 9 10 0
49 17 10 0
49 41 10 0
49 38 10 0
49 38 10 0
49 38 10 0
49 41 10 0
49 38 10 0
49 38 10 0
82 9 5 0
82 38 5 0
23 28 0 0
23 30 0 0
23 26 0 0
23 45 0 0
23 39 0 0
23 30 0 0
23 35 0 0
23 24 0 0
23 26 0 0
23 39 0 0
23 26 0 0
23 30 0 0
23 48 0 0
23 30 0 0
23 35 0 0
23 3 0 0
23 11 0 0
23 30 0 0
23 26 0 0
23 11 0 0
23 11 0 0
23 35 0 0
37 14 2 0
37 48 2 0
37 20 2 0
37 31 2 0
37 20 2 0
37 39 2 0
37 14 2 0
37 17 4 1
37 24 4 2
37 48 2 0
37 48 2 0
37 39 2 0
37 39 2 0
37 39 2 0
37 7 2 0
37 24 4 2
37 48 2 0
78 42 2 0
78 31 2 1
78 20 2 0
78 20 2 0
78 42 5 2
78 42 2 0
78 31 2 1
100 24 6 0
100 47 5 1
100 24 6 0
100 31 6 0
100 18 6 0
100 21 6 0
100 18 5 1
