d w z t
73 31 11 0
73 21 6 1
73 27 11 0
73 48 2 2
73 18 4 3
88 43 8 0
88 47 8 1
38 30 2 2
38 20 1 1
38 18 2 2
38 7 2 2
38 26 3 0
38 30 3 0
38 39 3 0
38 24 2 2
38 39 2 2
38 45 3 0
38 30 3 0
38 48 2 2
38 14 1 1
38 45 3 0
38 39 2 2
38 21 2 2
38 7 2 2
38 20 2 2
38 48 2 2
38 24 2 2
38 21 3 0
38 39 2 2
38 20 2 2
41 24 2 0
41 24 2 1
41 7 2 0
41 20 2 0
41 20 2 0
41 39 2 0
41 22 2 1
41 22 2 0
41 1 2 0
41 39 2 0
41 20 2 1
41 47 2 0
41 20 2 1
41 20 2 1
41 47 2 0
80 26 0 0
80 11 0 0
80 20 1 1
80 45 0 0
80 16 0 0
80 30 0 0
70 9 8 0
70 9 8 0
70 3 8 0
70 9 8 0
85 34 2 0
85 49 8 1
85 12 5 2
36 7 2 0
36 40 2 0
36 39 2 0
36 39 2 0
36 30 2 0
36 7 2 0
36 24 2 0
36 42 2 0
36 20 2 0
36 40 5 1
36 20 2 0
36 1 2 0
36 35 2 0
36 7 2 0
36 40 2 0
36 14 2 0
36 7 2 0
36 35 2 0
36 22 2 0
36 48 2 0
76 12 1 0
76 20 1 0
76 20 1 0
76 20 1 0
76 20 1 0
76 0 1 0
76 23 1 0
76 20 1 0
76 20 1 0
76 16 1 0
76 0 1 0
76 20 1 0
76 0 1 0
76 0 1 0
76 23 1 0
76 23 1 0
61 7 2 0
61 34 5 1
61 6 1 2
61 7 2 3
57 49 8 0
54 38 5 0
54 36 5 0
54 38 5 0
43 17 7 0
43 49 7 0
43 2 7 0
89 47 8 0
89 5 8 0
89 49 8 0
89 41 8 0
89 42 8 0
21 17 2 1
21 21 3 0
21 22 3 0
21 24 3 0
21 22 2 1
21 26 3 0
21 26 3 0
21 39 3 0
21 22 3 0
21 26 3 0
21 20 2 1
21 21 3 0
21 39 3 0
21 30 2 2
21 22 3 0
21 22 2 1
21 34 2 1
21 24 2 1
21 39 3 0
21 21 3 0
21 39 3 0
21 31 2 1
21 22 3 0
21 21 3 0
21 31 2 2
21 11 3 0
21 30 3 0
21 22 3 0
21 30 3 0
103 12 11 0
103 9 11 0
103 49 9 1
11 30 0 0
11 32 0 0
11 40 0 0
11 29 0 0
11 32 0 0
11 20 0 0
11 33 0 0
11 26 0 0
11 20 0 0
11 29 0 0
11 20 0 0
11 31 0 0
11 25 0 0
11 40 0 0
11 24 0 0
11 20 0 0
11 34 0 0
11 30 0 0
11 20 0 0
11 20 0 0
11 20 0 0
11 33 0 0
11 32 0 0
11 29 0 0
83 45 9 0
83 36 9 0
83 45 9 0
83 47 8 1
83 45 9 0
83 45 9 0
83 4 9 0
105 4 9 0
105 34 5 1
105 27 5 1
91 24 7 0
91 17 7 0
37 39 2 0
37 20 2 0
37 48 2 0
37 31 2 0
37 17 2 0
37 39 2 0
37 24 2 0
37 7 2 0
37 39 2 0
37 48 2 0
37 14 2 0
37 14 2 0
37 24 2 0
37 48 2 0
37 20 2 0
37 48 2 0
37 39 2 0
24 10 6 0
24 34 2 2
24 49 6 0
24 47 6 0
24 20 6 0
24 47 2 1
24 10 6 0
24 10 6 0
24 41 2 1
24 10 6 0
24 47 6 0
24 20 6 0
24 31 2 2
24 30 2 2
24 15 6 0
24 31 2 2
24 16 6 0
24 47 6 0
107 36 5 0
107 24 7 1
34 37 5 0
34 17 5 0
34 15 5 0
60 43 8 0
60 9 8 0
60 47 8 0
60 45 9 1
1 13 4 1
1 8 4 1
1 39 2 0
1 39 4 1
1 45 3 2
1 31 4 1
1 31 2 0
1 31 4 1
1 20 2 0
1 8 4 1
1 13 4 1
1 39 3 2
1 45 3 2
1 8 4 1
1 7 2 0
71 47 1 1
71 46 7 2
71 24 7 0
71 43 7 0
71 2 7 0
77 43 5 0
77 48 2 2
77 15 5 0
77 43 11 1
77 15 5 0
77 17 5 0
77 13 11 1
77 16 5 0
82 38 5 0
82 9 8 1
10 30 0 0
10 32 0 0
10 11 0 0
10 32 0 0
10 30 0 0
10 14 3 2
10 20 0 0
10 20 0 0
10 29 0 0
10 30 0 0
10 30 0 0
10 39 3 2
10 20 0 0
10 20 0 0
10 24 0 0
10 31 2 1
10 16 2 1
10 11 0 0
10 32 0 0
10 39 3 2
10 32 0 0
10 26 3 2
10 20 0 0
10 29 0 0
10 30 0 0
10 29 0 0
10 29 0 0
63 36 5 0
63 46 5 0
63 28 5 0
63 4 5 0
13 20 2 0
13 47 2 0
13 20 2 0
13 20 2 0
13 39 2 0
13 47 2 0
13 31 2 0
13 47 2 0
13 47 6 1
13 24 2 0
13 47 6 1
13 16 6 1
13 25 6 1
13 31 2 0
13 47 6 1
13 20 2 0
13 20 6 1
13 26 2 0
79 12 5 0
79 36 5 0
79 43 5 0
79 46 5 0
79 27 5 0
79 12 5 0
27 36 5 0
27 9 8 1
27 26 0 2
27 43 5 0
27 36 5 0
27 44 5 0
27 44 5 0
27 17 8 1
62 38 8 0
94 47 8 0
94 48 8 0
94 48 8 0
94 44 8 0
94 49 5 1
94 42 0 2
39 39 3 1
39 30 0 0
39 30 3 1
39 30 0 0
39 32 0 0
39 30 3 1
39 30 3 1
39 24 0 0
39 30 3 1
39 30 3 1
39 39 3 1
39 32 0 0
39 39 3 1
39 24 3 1
39 30 0 0
39 11 0 0
39 33 0 0
39 24 2 2
39 24 2 2
39 45 3 1
39 24 0 0
39 24 3 1
39 7 0 0
39 24 3 1
39 35 2 2
39 11 3 1
39 16 2 2
98 7 2 1
98 35 12 0
98 35 12 0
18 24 2 0
18 34 2 0
18 20 2 0
18 20 2 0
18 39 2 0
18 31 2 0
18 20 2 0
18 31 2 0
18 31 2 0
18 30 2 0
